street,city,zip_code,state,property_type,bedrooms,bathrooms,year,land_value,building_value,last_sold_date,last_sale_price
3512 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1946,37034,67411,6/30/21,129000
3106 CLAY ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,61200,61114,4/26/22,240000
3308E 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1963,41182,63683,1/11/22,148000
3306E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1924,41182,62819,3/21/22,158000
3209E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1923,42066,151757,4/22/22,325000
3009E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1965,45815,177096,8/17/21,244900
3005E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1965,42066,146178,5/21/21,215000
3003E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1975,42066,140483,10/28/21,238000
3001E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1964,42066,122517,4/30/21,158000
3109E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1913,50364,193757,11/4/21,270000
3105E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,41182,207703,5/18/21,280000
3202E 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1972,48450,192727,1/13/22,100
3105E 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1964,41182,37539,9/16/21,90000
3008E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,4,3,1996,41182,150938,11/13/20,180000
3203E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,2,2,1968,41182,101247,2/17/22,130000
3214E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1978,78861,213008,12/1/20,218000
3209E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1964,66619,105743,12/3/21,200000
3104E 21ST AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2006,46750,209706,8/11/21,245000
3304E 21ST AVE,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,2,1,1985,46750,110432,3/22/22,225000
3310E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,5,3,1927,113098,159627,8/26/20,230000
3106E 17TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,1,1959,44213,169803,8/14/20,184500
2700N 31ST ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1988,44213,153920,11/24/20,200000
3107E 17TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1955,81422,212541,2/24/22,315000
